x,y,z
278892,61920,5
292095,91984,5
292116,91958,5
292130,91942,5
292145,91925,5
292160,91907,5
292174,91890,5
292201,91857,5
292215,91840,5
292230,91821,5
292244,91801,5
292260,91779,5
292258,91752,5
292259,91729,5
292259,91703,5
281576,74845,5
246359,130317,8
330554,99552,8
330542,99526,8
330531,99505,8
330499,99433,8
330481,99394,6
330460,99335,8
330446,99289,6
330336,99051,8
330317,99022,8
330295,99006,8
330299,98992,8
330288,98965,8
330278,98934,8
330257,98913,8
330261,98885,8
330240,98875,8
330243,98855,8
330202,98848,8
330083,98459,6
330241,98840,8
325826,91265,6
295997,122118,8
295959,122136,8
295921,122152,8
295884,122164,8
295862,122190,8
295823,122271,8
295794,122295,8
295762,122363,8
295791,122381,5
295814,122405,10
295830,122439,8
295859,122463,8
295552,120924,8
295523,120943,8
295462,120920,8
295449,120893,8
295439,120975,8
295407,120980,8
295247,122244,8
295929,121930,8
295952,121967,8
295981,122018,8
296001,122055,8
255321,134371,6
255325,134325,6
255340,134312,6
255343,134272,6
255352,134238,6
255042,134308,6
257020,132752,6
257044,132779,6
257089,132758,6
256280,131906,8
258280,132401,8
258286,132370,8
258307,132328,8
258322,132302,8
258355,132295,8
258332,132258,8
258314,132251,8
258298,132222,8
256537,133277,6
256557,133246,6
256567,133218,6
256566,133200,6
256584,133192,6
256617,133190,6
256641,133194,6
256670,133194,6
256700,133200,6
256735,133189,6
256700,133726,6
256667,133716,6
256637,133707,6
256608,133717,5
256575,133743,6
256550,132327,6
256533,132305,6
256516,132276,6
256499,132255,6
257418,132481,6
256497,133635,6
256530,133622,6
256562,133629,6
256591,133616,6
256631,133625,6
256663,133610,6
256698,133623,6
256728,133612,6
256760,133625,6
256796,133617,6
256829,133591,6
256809,133635,5
256836,133633,6
256884,133627,6
257347,132597,6
257376,132591,6
257572,133350,6
257614,133358,6
257635,133352,6
257693,133366,6
257737,133378,6
257827,133400,6
257874,133413,6
257917,133429,6
257951,133441,6
257994,133454,6
258049,133467,6
258087,133480,6
258120,133500,6
258141,133536,6
258166,133563,6
258219,133611,6
257018,133315,6
257006,133336,6
257022,133354,6
257055,133340,6
257126,133357,6
257148,133367,6
257160,133384,6
257164,133410,6
257154,133431,5
257132,133447,6
257094,133455,6
257060,133475,6
257039,133497,6
257021,133495,6
256987,133514,6
256964,133537,6
256935,133542,6
256916,133564,6
256882,133581,6
256857,133591,6
257315,132575,6
257316,132608,5
257297,132736,6
257288,132768,6
257293,132803,6
256416,133797,6
256451,133801,6
256479,133807,6
256514,133818,6
256542,133828,6
256727,132240,8
256874,132921,6
256905,132927,6
256927,132952,6
256970,132949,6
257003,132953,6
257042,132938,6
257086,132930,6
257122,132903,6
257109,132872,6
258462,131586,6
256562,133857,5
256597,133868,5
256594,133824,6
256631,133843,5
256662,133822,5
256688,133805,5
256717,133786,5
256754,133780,6
256766,133804,6
256170,135140,8
256207,135221,8
256242,135263,8
256297,135296,8
256322,135311,8
255568,134264,6
255593,134245,6
255625,134245,6
255632,134234,6
256811,132637,8
256877,133558,6
256874,133535,6
256886,133530,6
256915,133502,6
255933,133923,6
255911,133941,6
255885,133938,6
255863,133977,6
255946,133964,6
255974,133994,6
256018,134004,6
255794,133846,6
254712,133696,8
254735,133726,8
253847,131793,8
253815,131793,8
253792,131774,8
253762,131777,8
253742,131759,8
253438,131634,8
253236,131534,6
256330,134689,5
256365,134729,5
256382,134755,5
257523,132373,8
257525,132346,8
257515,132319,8
257496,132315,8
257517,132299,8
257524,132276,8
257556,132261,8
257508,132276,8
257478,132297,8
257481,132279,8
257457,132275,8
257425,132284,8
257402,132311,8
257391,132334,8
257362,132331,8
257336,132355,8
257297,132353,8
257266,132369,8
257246,132372,8
257245,132400,8
257271,132389,8
255739,132833,8
255762,132815,8
255782,132801,8
255800,132781,8
255817,132751,8
255822,132720,8
255834,132691,8
255839,132660,8
255853,132634,8
255871,132607,8
255888,132584,8
255906,132555,8
255923,132528,8
255858,132590,8
255831,132572,8
255801,132551,8
255773,132530,8
255780,132499,8
255789,132466,8
255798,132438,8
255794,132409,8
255818,132380,8
255815,132349,8
255746,132540,8
255725,132567,8
255710,132594,8
255686,132574,8
255661,132557,8
255636,132579,8
255769,133767,5
255782,133774,5
255827,133802,5
255861,133818,5
255900,133829,5
255934,133838,5
255974,133848,5
256008,133856,6
256044,133862,5
256080,133869,5
256109,133876,5
256142,133888,5
256182,133904,5
256210,133914,6
256239,133919,6
256269,133919,6
256330,133899,6
256353,133881,6
256369,133865,5
256373,133843,5
256388,133833,6
256398,133803,5
256392,133778,5
256402,133764,6
256395,133735,5
256407,133712,6
257103,131923,6
257113,131981,6
257127,132011,5
257122,132043,6
257141,132073,5
257145,132107,6
257165,132132,5
257167,132163,6
257187,132188,5
257189,132221,6
257212,132254,6
255655,132759,8
255624,132592,8
255617,132566,8
254489,133921,8
256556,132634,5
257901,132442,6
257936,132449,6
257965,132431,6
257996,132437,6
258030,132418,6
258063,132425,6
258095,132408,6
258131,132414,6
258207,132391,6
258236,132391,6
258260,132401,6
258288,132414,6
258312,132434,6
257645,132499,6
257678,132482,6
257723,132489,6
257753,132468,6
257789,132474,6
257821,132456,6
257849,132451,6
257880,132459,6
256072,146679,5
256079,146722,5
256091,146922,5
256109,146952,5
256144,146968,5
256200,147009,5
256240,147030,5
256284,147054,5
256376,147099,6
256536,147082,5
256569,147118,5
253155,132175,6
253160,132146,6
253164,132118,6
253169,132087,6
253175,132058,6
253179,132029,6
253184,132002,6
253196,131974,6
253206,131944,6
253214,131914,6
253227,131853,6
253233,131829,6
253249,131810,6
253241,131791,6
253255,131766,6
253249,131740,6
253261,131709,6
253253,131687,6
253263,131657,6
253253,131631,6
253263,131598,6
253252,131569,8
244854,126534,6
244825,126528,6
244788,126519,6
244736,126515,6
244676,126509,6
244659,126520,6
244633,126520,6
244609,126521,6
244577,126522,6
244541,126513,6
244509,126522,6
244468,126512,6
244437,126514,6
244366,126540,6
244336,126551,6
244299,126549,6
244275,126556,6
244253,126554,6
244232,126548,6
244198,126536,6
244155,126531,6
244121,126531,6
244085,126533,6
244052,126537,6
244017,126541,6
243982,126549,6
243944,126556,6
243915,126562,6
243881,126572,6
243848,126579,6
243816,126586,6
243784,126594,6
243748,126604,6
243716,126613,6
243688,126620,6
243573,125578,8
243585,125557,8
243589,125515,8
243580,125487,8
243567,125517,8
243532,125502,8
243500,125500,8
243462,125509,8
243434,125507,8
243364,125863,8
243337,125837,8
243307,125826,8
243304,125790,8
243280,125799,8
245419,126490,5
245414,126516,5
245416,126548,5
245416,126572,5
244675,126527,6
245331,126485,6
245364,126487,6
245393,126487,6
245321,126367,5
245319,126392,5
245315,126424,5
244589,126229,6
244738,126066,8
245599,127501,6
245591,127528,6
243855,125998,6
243821,125994,6
243795,125975,6
245127,126861,6
245155,126853,6
245186,126843,6
245235,126834,6
245064,127097,8
245106,126779,8
245501,126881,6
245470,126892,6
245441,126898,6
245411,126905,6
250020,88713,8
250456,88875,8
290666,73778,6
295922,113975,8
295946,113980,8
281301,78182,8
281258,78185,8
281234,78189,8
281208,78197,8
248608,136595,6
248630,136558,6
248633,136531,6
248617,136504,6
248595,136478,6
248586,136445,6
249077,135802,8
249057,135822,8
249077,135836,8
249070,135859,8
248588,136900,6
248565,136894,5
248621,136919,6
248628,136959,6
248640,137005,6
248641,135908,8
248388,136711,6
248403,136758,6
248417,136805,6
248428,136835,6
248443,136877,6
249160,135518,6
249134,135519,6
249099,135541,6
298367,97498,6
298367,97498,6
299781,94553,10
273422,65340,5
306498,81873,6
306542,81865,6
306581,81876,6
306165,81984,5
306144,82076,6
306102,82345,6
306217,81982,8
306419,82355,6
250483,134913,8
250479,134872,8
250450,134841,8
250489,134833,8
250473,134811,8
250451,134803,8
284754,77522,8
284716,77508,8
268355,114561,5
268386,114538,5
268354,114508,5
268452,114515,5
268680,114252,6
300558,93226,6
300534,93242,6
300550,93180,6
300580,93205,6
300609,93226,6
300643,93225,6
300681,93224,6
300706,93191,6
300705,93159,6
300704,93119,6
299757,94491,10
299768,94524,10
299807,94538,10
299811,94568,10
299853,94578,10
300266,93177,8
300301,93182,8
300333,93187,8
300363,93198,8
300397,93195,8
300437,93184,8
300484,93153,8
300491,93131,8
297874,93386,10
297921,93388,10
297968,93390,10
298018,93393,10
298069,93399,10
298288,93472,10
298332,93487,10
298433,93502,5
298430,93513,5
298461,93508,5
298459,93519,5
298516,93520,10
298592,93546,10
298605,93573,10
298646,93584,10
298668,93621,10
298707,93628,10
298730,93664,10
298762,93666,10
298792,93706,10
298827,93713,10
298843,93747,10
298879,93759,10
298905,93792,10
298919,93828,10
298114,88743,8
298208,88743,8
298245,88720,8
298285,88730,8
298375,88710,8
296714,90852,8
297416,90732,8
297414,90747,8
297428,90741,8
325267,92728,6
325197,92814,6
324867,93414,8
324789,93722,8
257910,147118,8
257385,147038,8
257597,147275,8
276842,102632,8
283985,99444,8
283972,99420,8
283895,100347,6
283838,100367,6
283799,100383,6
283767,100376,6
283739,100382,6
283710,100386,6
283675,100395,6
283625,100479,6
283611,100505,6
283590,100541,6
283567,100580,6
283547,100610,6
283532,100636,6
283508,100660,5
283474,100686,6
283453,100683,6
283439,100710,6
283413,100729,6
283385,100746,6
283352,100764,6
283272,100803,6
283241,100827,6
283218,100848,6
283190,100867,6
283187,100895,6
283661,100433,6
243288,138314,5
301898,106427,8
301916,106419,8
301913,106400,8
301932,106391,8
301934,106369,8
301950,106363,8
301947,106348,8
301514,106608,8
301509,106630,8
301494,106644,8
301496,106670,8
301486,106687,8
301471,106707,8
301447,106715,8
301436,106741,8
301409,106748,8
301402,106771,8
301378,106781,8
301370,106808,8
301380,106839,8
301365,106861,8
301373,106895,8
301366,106915,8
301345,106932,8
301346,106957,8
301325,106981,8
301319,107000,8
301318,107024,8
301329,107550,6
287729,51385,5
287695,51464,5
287876,50720,5
285896,50903,10
285901,50926,10
285911,50918,10
285930,50921,10
285958,50923,10
285991,50925,10
286029,50929,10
286066,50935,10
286087,50921,10
286094,50943,10
286105,50912,10
286120,50925,10
286121,50936,10
296012,76134,8
295984,76158,8
295937,76178,8
295904,76184,8
295858,76193,8
295808,76185,8
295751,76193,8
295721,76179,8
295664,76181,8
295632,76203,8
296540,78720,8
273030,64730,6
257434,112263,6
257287,112173,6
257304,112150,6
313861,108050,8
246639,125838,6
246689,125837,6
246740,125817,6
246776,125800,6
246377,126215,6
246436,126246,6
246463,126272,6
245840,126688,6
245876,126690,6
245911,126683,6
245949,126688,6
245987,126702,6
246019,126710,6
246054,126717,6
246121,126716,6
246145,126737,6
245616,126094,5
298088,87966,8
294039,92083,5
291545,89692,5
291676,92315,5
294230,93783,6
294252,94161,6
294265,94181,6
294302,94180,6
294313,94234,6
294336,94256,6
294360,94278,6
294386,94300,6
294428,94301,6
294412,94320,6
294439,94335,6
294452,94320,6
294460,94345,6
292825,93157,5
294852,92283,6
292114,93208,6
292148,93230,6
292176,93244,6
292207,93259,6
292246,93280,5
292278,93297,6
292308,93313,6
292338,93330,6
292369,93327,6
294230,89602,6
290849,91774,6
290830,91809,6
290831,91846,6
290823,91885,6
290823,91928,6
290816,91957,6
290809,91990,6
290788,92016,6
290782,92051,6
290787,92087,6
290772,92121,6
290785,92156,6
290768,92182,6
290779,92211,6
290770,92244,6
290744,92270,6
292551,92495,6
294040,91395,6
294092,91389,6
294125,91367,5
294169,91323,6
294154,91321,5
294171,91294,5
294165,91258,5
294158,91266,5
294146,91222,5
294151,91211,6
294130,91192,5
294127,91172,6
294106,91160,6
294080,91127,6
294062,91093,6
294072,91057,6
294037,91060,6
293981,90988,6
293935,90945,6
293909,90902,6
293875,90873,6
293865,90845,6
293825,90827,6
293848,90804,6
293879,90781,5
291361,91871,6
291325,91846,6
291304,91817,6
291269,91800,6
291255,91784,6
294871,93201,6
295999,91167,8
295992,91197,8
295985,91236,8
296058,91306,8
296057,91325,8
296056,91345,8
296055,91361,8
296054,91383,8
296053,91403,8
296051,91423,8
296050,91449,8
296037,91470,8
296013,91493,8
291999,92249,5
291840,90025,6
292416,92744,6
295628,93882,6
295602,93909,6
295572,93925,6
295568,93947,6
295549,93955,6
295543,93975,6
290767,92417,6
290771,92458,6
290773,92490,6
290764,92516,6
290766,92548,6
290782,92584,6
290784,92610,6
290784,92635,6
290777,92675,6
290763,92714,6
290752,92743,6
290737,92767,6
290752,92794,6
290756,92832,6
290760,92861,6
290762,92885,6
290764,92911,6
290768,92952,6
290759,92997,6
290774,93056,6
290775,93088,6
290762,93123,6
290772,93155,6
290769,93184,6
290768,93220,6
290766,93256,6
290764,93291,6
290752,93369,6
290776,93470,6
290787,93493,6
290808,93517,6
290817,93551,6
290821,93576,6
291863,92812,5
293064,92669,8
293067,92698,6
293086,92729,6
293107,92768,6
293139,92800,5
293165,92819,5
293201,92837,5
293242,92855,6
293271,92867,6
293301,92877,6
293938,92355,6
293927,92344,6
293927,92344,6
296400,91758,8
296401,91726,8
291743,91873,6
291786,91878,6
291805,91897,6
291828,91910,6
292474,93437,5
292518,93424,5
292531,93174,6
292502,93155,6
292478,93130,6
292466,93095,6
292432,93072,6
290737,93740,6
290639,93741,6
290604,93733,6
290570,93744,6
290536,93741,6
293937,91142,5
293971,91172,5
293990,91198,5
292023,92748,6
290248,93448,5
290216,93448,5
290180,93479,5
292037,90765,8
291964,90730,8
291902,90713,8
292160,92818,5
292135,92802,5
292118,92801,6
292097,92816,6
292059,92777,6
292040,92762,6
292109,93124,6
292089,93142,6
290782,93316,8
290811,93316,8
290846,93315,8
291160,92253,6
291132,92274,6
291091,92277,6
291059,92297,6
291030,92296,6
290970,92322,6
290934,92307,6
290902,92311,6
290866,92305,6
290838,92321,6
290822,92352,6
291391,92154,6
291361,92176,6
291340,92193,6
291320,92210,6
291297,92236,6
292596,92864,6
292413,92346,6
292430,95035,6
292438,93742,6
292409,93750,6
292375,93735,6
292322,93741,6
292279,93761,6
292253,93788,6
292217,93807,6
292183,93818,6
292162,93847,6
292127,93863,6
292111,93898,6
292075,93919,6
292060,93944,6
292029,93961,6
291976,93944,6
291969,93903,6
291958,93868,6
291860,93695,6
291344,91342,5
295187,90946,8
295160,90961,8
295137,90980,8
295121,90999,8
289931,92781,5
289903,92794,5
289873,92808,5
289845,92820,5
289816,92834,5
289792,92849,5
289772,92867,5
289748,92878,5
289726,92908,5
289713,92927,6
289729,92945,5
289714,92954,5
289691,92950,5
291261,91323,6
293087,93040,8
292743,92831,8
292718,92845,8
292711,92879,8
292728,92905,8
292759,92907,8
292775,92876,8
295472,91725,8
294584,92216,6
291461,89460,6
291424,89406,6
292423,92768,6
292384,92761,6
290828,93627,6
290827,93657,6
290808,93677,5
290793,93702,5
290763,93724,5
291651,92789,6
291628,92813,6
291607,92833,6
291587,92853,6
291571,92868,6
291566,92895,6
291532,92919,6
291519,92932,6
291508,92952,6
291499,92985,6
291471,93007,6
290847,93607,6
290883,93607,6
290918,93597,6
293411,94336,5
293394,94495,5
294834,93610,6
294801,92533,6
294805,92507,6
294803,92468,6
294786,92431,6
294791,92393,6
294775,92358,6
294786,92316,6
294779,92281,6
291826,91897,6
291855,92219,10
294892,93384,8
294920,93372,8
294947,93339,8
294975,93320,8
295016,93322,8
295045,93314,8
295076,93325,8
295109,93310,8
295152,93311,8
295188,93288,8
295227,93285,8
295259,93298,8
295279,93331,8
295315,93354,8
295354,93367,8
295389,93378,8
295415,93388,8
295455,93397,8
295488,93399,8
295137,93889,6
294234,91703,6
292580,93146,6
292558,93171,6
292526,93187,6
292496,93213,6
292473,93243,6
292442,93265,6
292416,93279,6
299866,80571,8
299866,80571,8
301444,82104,6
301505,82326,6
300276,81506,8
300253,81517,8
300216,81515,8
300192,81504,8
300151,81513,8
300122,81502,8
300103,81511,8
300069,81501,8
300947,83137,6
300944,83382,6
299875,80886,8
299886,80854,8
299909,80821,8
299907,80788,8
300909,81854,6
300961,81834,6
300993,81822,6
301034,81825,6
301069,81826,6
301106,81836,6
301155,81828,6
301208,81839,6
301251,81837,6
301287,81858,6
301325,81864,6
301365,81891,6
301441,81891,6
301474,81875,6
301503,81852,6
301523,81824,6
301559,81805,6
301583,81772,6
301612,81764,6
300350,80208,6
300370,80193,6
300399,80182,6
299544,80746,6
299577,80758,6
299895,80892,8
299925,80893,8
298241,87054,5
298229,87079,5
308629,97165,10
308656,97159,10
308679,97151,10
308715,97145,10
308745,97126,10
308786,97127,10
308824,97135,10
308853,97147,10
308875,97172,10
308898,97191,10
310914,98328,8
310964,98347,10
311001,98361,10
311050,98366,10
311094,98390,10
311132,98403,10
311168,98416,10
311213,98434,10
311246,98448,10
311283,98467,10
311325,98477,10
311351,98500,10
311386,98517,10
311419,98532,10
311455,98541,10
311495,98570,10
311530,98593,10
311573,98603,10
311606,98633,10
311645,98654,10
311682,98675,10
311728,98687,10
311755,98716,10
311833,98760,10
311873,98780,10
311916,98790,10
311950,98785,10
311982,98791,10
312005,98800,10
312024,98818,10
246338,119482,7
246104,139833,5
249959,119394,8
249989,119405,8
250019,119414,8
249605,119171,6
248815,118769,8
248793,118791,8
248759,118811,8
248717,118835,8
249360,119074,6
250889,119581,8
250894,119604,8
250898,119629,8
250902,119654,8
250904,119680,8
250905,119704,8
250901,119719,8
249476,119292,6
249465,119346,6
249458,119384,5
249442,119413,5
249444,119456,5
249376,119064,6
249402,119058,6
249431,119064,6
249628,119178,6
249655,119179,6
249680,119185,6
249705,119204,6
249742,119216,6
244665,72804,8
244684,72817,8
244690,72799,8
244699,72816,8
244707,72798,8
244719,72808,8
244712,72789,8
244722,72775,5
244691,72829,8
301184,112834,6
253620,103840,6
253606,103820,6
253579,103805,6
253548,103786,6
253520,103771,6
253509,103758,6
250338,135029,8
250345,135059,8
234151,104125,5
234126,104169,5
234051,104214,5
234009,104215,5
233966,104217,5
233932,104205,5
233904,104218,5
234215,103524,8
234179,104118,5
234722,103224,8
315610,99677,6
315638,99672,6
315667,99662,6
315694,99649,6
315716,99634,6
315746,99608,6
315759,99589,6
315771,99571,6
315772,99550,6
315158,99961,8
315178,99901,8
315502,100556,8
315517,100587,8
315549,100604,8
315559,100631,8
315581,100606,8
315607,100583,8
